image,extracted_text,toxicity_label,toxicity_score
520_NM_pic.jpg,IGdevilmemez_81७ cooamdep0 २s८l Ic०$ Monkeys का करें! जिएं कीना जिएं| Ooooa0os|,Toxic,0.3723123371601105
151_M_pic_10.jpg,"philmyyy We're both dead, but if we're born again , come to my bed! OM SHANTIOM",Toxic,0.29431694746017456
43_NM_pic.jpg,When my Bestfriend doesn t tie a Friendship band to me 9 ylo me : Olloste tah७ GHASIERAHO Iska hisaab chukana padega beta,Toxic,0.3110840618610382
514_NM_pic.jpg,*Someone :- Tum apne doston ko kis naam se bulate ho !!! *In my Mind T% 0 8,Toxic,0.3089088797569275
506_M_pic_2.jpg,१४ Y Ola Nibbi After Sex eleosturk Aaj Usne Muje Pura Nanga Dekh To Usme Kya Hua Akhir Vo Pati Hai Mera Liya,Toxic,0.2978731095790863
93_M_pic_2.jpg,Girl Best Friends at first Night 1980* @e[ Iuemes Ghabuana matWOjolaekaedena Hindu 0 mora 2021* odvilratmen Jovsechflana taki use lagelisllosne Totbai,Toxic,0.37413132190704346
69_NM_pic.jpg,IGIHASTE RAHO Pizza khanechalogi? OHo5t2_70|00 Acha Uomosृ,Toxic,0.33402132987976074
89_M_pic_10.jpg,Will You Wait? Forever! The Next Day Sv७t tk,Toxic,0.2613469362258911
181_M_pic_1.jpg,"promozcraz3 Babe its my first time,be gentle १Omin laterr : Or zonrsedonitston",Toxic,0.255510538816452
176_NM_pic.jpg,How mom wake up their kids How dad wake up their Kids,Toxic,0.27698203921318054
119_NM_pic.jpg,"Kidnapper before kidnapping 0] Me last wishes Me - Thenlillhlacts Tianirlia Tlacig @thegirlishfacts Yes, please kidnap my bestfriend too ""Any",Toxic,0.36681604385375977
393_M_pic_2.jpg,NONI( BIAGR  A Iemex Lakdi aurr ladki me antar hota hai Lakdi ko kata jata hai aur ladki khud sabka kaatiti hai k@,Toxic,0.3031424582004547
86_NM_pic.jpg,IGIHASTE RAHO Pandemi3ke baad Shaadl karenges @K? OHaste _rohho YesabShaadi kebaads abhiohi,Toxic,0.2776075601577759
139_M_pic_1.jpg,FUNUNUIMITED Jaado beta. kya khaoge Ohoop? Choooo,Toxic,0.2688741683959961
539_M_pic_2.jpg,Bhai hota to rani banake rakh ta,Toxic,0.2698717415332794
108_M_pic_1.jpg,जब कोइ हाल ह्ाटता हयो तो ऐसा हता,Toxic,0.28338104486465454
